"GEOID","year","County","Geography","variable","Variable_Description","estimate","moe"
"36037",2023,"Genesee","NA County","S0101_C02_014","60 to 64 Years",8.1,0.5
"36037",2023,"Genesee","NA County","S0101_C02_015","65 to 69 Years",7.1,0.6
"36037",2023,"Genesee","NA County","S0101_C02_016","70 to 74 Years",4.2,0.6
"36037",2023,"Genesee","NA County","S0101_C02_017","75 to 79 Years",3.4,0.5
"36037",2023,"Genesee","NA County","S0101_C02_018","80 to 84 Years",2.3,0.4
"36037",2023,"Genesee","NA County","S0101_C02_019","85 Years and Over",2.6,0.5
"36051",2023,"Livingston","NA County","S0101_C02_002","Under 5 Years",4.4,0.1
"36051",2023,"Livingston","NA County","S0101_C02_003","5 to 9 Years",4.9,0.4
"36051",2023,"Livingston","NA County","S0101_C02_004","10 to 14 Years",5.1,0.5
"36051",2023,"Livingston","NA County","S0101_C02_005","15 to 19 Years",8.1,0.2
"36051",2023,"Livingston","NA County","S0101_C02_006","20 to 24 Years",9.7,0.3
"36051",2023,"Livingston","NA County","S0101_C02_007","25 to 29 Years",5.2,0.2
"36051",2023,"Livingston","NA County","S0101_C02_008","30 to 34 Years",5.2,0.2
"36051",2023,"Livingston","NA County","S0101_C02_009","35 to 39 Years",5.5,0.4
"36051",2023,"Livingston","NA County","S0101_C02_010","40 to 44 Years",5.6,0.4
"36051",2023,"Livingston","NA County","S0101_C02_011","45 to 49 Years",5.2,0.2
"36051",2023,"Livingston","NA County","S0101_C02_012","50 to 54 Years",6.4,0.2
"36051",2023,"Livingston","NA County","S0101_C02_013","55 to 59 Years",7.4,0.5
"36051",2023,"Livingston","NA County","S0101_C02_014","60 to 64 Years",7.7,0.5
"36051",2023,"Livingston","NA County","S0101_C02_015","65 to 69 Years",6.1,0.5
"36051",2023,"Livingston","NA County","S0101_C02_016","70 to 74 Years",5.6,0.5
"36051",2023,"Livingston","NA County","S0101_C02_017","75 to 79 Years",3.5,0.3
"36051",2023,"Livingston","NA County","S0101_C02_018","80 to 84 Years",2,0.3
"36051",2023,"Livingston","NA County","S0101_C02_019","85 Years and Over",2.3,0.3
"36055",2023,"Monroe","NA County","S0101_C02_002","Under 5 Years",5.3,0.1
"36055",2023,"Monroe","NA County","S0101_C02_003","5 to 9 Years",5.5,0.2
"36055",2023,"Monroe","NA County","S0101_C02_004","10 to 14 Years",6.1,0.2
"36055",2023,"Monroe","NA County","S0101_C02_005","15 to 19 Years",6.8,0.1
"36055",2023,"Monroe","NA County","S0101_C02_006","20 to 24 Years",6.5,0.1
"36055",2023,"Monroe","NA County","S0101_C02_007","25 to 29 Years",6.8,0.1
"36055",2023,"Monroe","NA County","S0101_C02_008","30 to 34 Years",7.1,0.1
"36055",2023,"Monroe","NA County","S0101_C02_009","35 to 39 Years",6.6,0.2
"36055",2023,"Monroe","NA County","S0101_C02_010","40 to 44 Years",5.6,0.2
"36055",2023,"Monroe","NA County","S0101_C02_011","45 to 49 Years",5.4,0.1
"36055",2023,"Monroe","NA County","S0101_C02_012","50 to 54 Years",6.3,0.1
"36055",2023,"Monroe","NA County","S0101_C02_013","55 to 59 Years",6.9,0.2
"36055",2023,"Monroe","NA County","S0101_C02_014","60 to 64 Years",6.8,0.2
"36055",2023,"Monroe","NA County","S0101_C02_015","65 to 69 Years",5.8,0.1
"36055",2023,"Monroe","NA County","S0101_C02_016","70 to 74 Years",4.9,0.1
"36055",2023,"Monroe","NA County","S0101_C02_017","75 to 79 Years",3.1,0.1
"36055",2023,"Monroe","NA County","S0101_C02_018","80 to 84 Years",2.1,0.1
"36055",2023,"Monroe","NA County","S0101_C02_019","85 Years and Over",2.4,0.1
"36069",2023,"Ontario","NA County","S0101_C02_002","Under 5 Years",4.6,0.1
"36069",2023,"Ontario","NA County","S0101_C02_003","5 to 9 Years",5.6,0.3
"36069",2023,"Ontario","NA County","S0101_C02_004","10 to 14 Years",5.6,0.3
"36069",2023,"Ontario","NA County","S0101_C02_005","15 to 19 Years",6.4,0.1
"36069",2023,"Ontario","NA County","S0101_C02_006","20 to 24 Years",6.1,0.1
"36069",2023,"Ontario","NA County","S0101_C02_007","25 to 29 Years",5.3,0.1
"36069",2023,"Ontario","NA County","S0101_C02_008","30 to 34 Years",5.7,0.1
"36069",2023,"Ontario","NA County","S0101_C02_009","35 to 39 Years",6.1,0.4
"36069",2023,"Ontario","NA County","S0101_C02_010","40 to 44 Years",5.4,0.4
"36069",2023,"Ontario","NA County","S0101_C02_011","45 to 49 Years",5.6,0.2
"36069",2023,"Ontario","NA County","S0101_C02_012","50 to 54 Years",6.8,0.2
"36069",2023,"Ontario","NA County","S0101_C02_013","55 to 59 Years",7.3,0.4
"36069",2023,"Ontario","NA County","S0101_C02_014","60 to 64 Years",7.8,0.4
"36069",2023,"Ontario","NA County","S0101_C02_015","65 to 69 Years",6.5,0.4
"36069",2023,"Ontario","NA County","S0101_C02_016","70 to 74 Years",6.3,0.4
"36069",2023,"Ontario","NA County","S0101_C02_017","75 to 79 Years",3.8,0.3
"36069",2023,"Ontario","NA County","S0101_C02_018","80 to 84 Years",2.3,0.3
"36069",2023,"Ontario","NA County","S0101_C02_019","85 Years and Over",2.6,0.4
"36073",2023,"Orleans","NA County","S0101_C02_002","Under 5 Years",4.7,0.2
"36073",2023,"Orleans","NA County","S0101_C02_003","5 to 9 Years",4.9,0.5
"36073",2023,"Orleans","NA County","S0101_C02_004","10 to 14 Years",5.8,0.6
"36073",2023,"Orleans","NA County","S0101_C02_005","15 to 19 Years",5.8,0.3
"36073",2023,"Orleans","NA County","S0101_C02_006","20 to 24 Years",5.4,0.3
"36073",2023,"Orleans","NA County","S0101_C02_007","25 to 29 Years",6.2,0.3
"36073",2023,"Orleans","NA County","S0101_C02_008","30 to 34 Years",6.7,0.4
"36073",2023,"Orleans","NA County","S0101_C02_009","35 to 39 Years",6.5,0.6
"36073",2023,"Orleans","NA County","S0101_C02_010","40 to 44 Years",5.3,0.6
"36073",2023,"Orleans","NA County","S0101_C02_011","45 to 49 Years",6,0.3
"36073",2023,"Orleans","NA County","S0101_C02_012","50 to 54 Years",7.4,0.4
"36073",2023,"Orleans","NA County","S0101_C02_013","55 to 59 Years",9.2,0.7
"36073",2023,"Orleans","NA County","S0101_C02_014","60 to 64 Years",7.3,0.7
"36073",2023,"Orleans","NA County","S0101_C02_015","65 to 69 Years",6.4,0.7
"36073",2023,"Orleans","NA County","S0101_C02_016","70 to 74 Years",5.5,0.7
"36073",2023,"Orleans","NA County","S0101_C02_017","75 to 79 Years",3.5,0.4
"36073",2023,"Orleans","NA County","S0101_C02_018","80 to 84 Years",1.8,0.4
"36073",2023,"Orleans","NA County","S0101_C02_019","85 Years and Over",1.8,0.4
"36099",2023,"Seneca","NA County","S0101_C02_002","Under 5 Years",5.5,0.2
"36099",2023,"Seneca","NA County","S0101_C02_003","5 to 9 Years",5.5,0.5
"36099",2023,"Seneca","NA County","S0101_C02_004","10 to 14 Years",6,0.5
"36099",2023,"Seneca","NA County","S0101_C02_005","15 to 19 Years",5.4,0.2
"36099",2023,"Seneca","NA County","S0101_C02_006","20 to 24 Years",5.4,0.2
"36099",2023,"Seneca","NA County","S0101_C02_007","25 to 29 Years",6.1,0.3
"36099",2023,"Seneca","NA County","S0101_C02_008","30 to 34 Years",6.6,0.3
"36099",2023,"Seneca","NA County","S0101_C02_009","35 to 39 Years",6.3,0.6
"36099",2023,"Seneca","NA County","S0101_C02_010","40 to 44 Years",5.5,0.6
"36099",2023,"Seneca","NA County","S0101_C02_011","45 to 49 Years",5.4,0.2
"36099",2023,"Seneca","NA County","S0101_C02_012","50 to 54 Years",6.5,0.2
"36099",2023,"Seneca","NA County","S0101_C02_013","55 to 59 Years",7,0.8
"36099",2023,"Seneca","NA County","S0101_C02_014","60 to 64 Years",7.9,0.8
"36099",2023,"Seneca","NA County","S0101_C02_015","65 to 69 Years",6.8,0.5
"36099",2023,"Seneca","NA County","S0101_C02_016","70 to 74 Years",5.7,0.5
"36099",2023,"Seneca","NA County","S0101_C02_017","75 to 79 Years",3.4,0.5
"36099",2023,"Seneca","NA County","S0101_C02_018","80 to 84 Years",2,0.4
"36099",2023,"Seneca","NA County","S0101_C02_019","85 Years and Over",2.9,0.5
"36117",2023,"Wayne","NA County","S0101_C02_002","Under 5 Years",5.4,0.1
"36117",2023,"Wayne","NA County","S0101_C02_003","5 to 9 Years",5.9,0.4
"36117",2023,"Wayne","NA County","S0101_C02_004","10 to 14 Years",6.1,0.4
"36117",2023,"Wayne","NA County","S0101_C02_005","15 to 19 Years",5.7,0.2
"36117",2023,"Wayne","NA County","S0101_C02_006","20 to 24 Years",5.2,0.2
"36117",2023,"Wayne","NA County","S0101_C02_007","25 to 29 Years",5.5,0.1
"36117",2023,"Wayne","NA County","S0101_C02_008","30 to 34 Years",5.8,0.2
"36117",2023,"Wayne","NA County","S0101_C02_009","35 to 39 Years",5.8,0.5
"36117",2023,"Wayne","NA County","S0101_C02_010","40 to 44 Years",5.8,0.4
"36117",2023,"Wayne","NA County","S0101_C02_011","45 to 49 Years",5.7,0.1
"36117",2023,"Wayne","NA County","S0101_C02_012","50 to 54 Years",7,0.1
"36117",2023,"Wayne","NA County","S0101_C02_013","55 to 59 Years",7.7,0.5
"36117",2023,"Wayne","NA County","S0101_C02_014","60 to 64 Years",8.2,0.5
"36117",2023,"Wayne","NA County","S0101_C02_015","65 to 69 Years",6.8,0.4
"36117",2023,"Wayne","NA County","S0101_C02_016","70 to 74 Years",5.4,0.4
"36117",2023,"Wayne","NA County","S0101_C02_017","75 to 79 Years",3.9,0.4
"36117",2023,"Wayne","NA County","S0101_C02_018","80 to 84 Years",1.8,0.3
"36117",2023,"Wayne","NA County","S0101_C02_019","85 Years and Over",2.2,0.3
"36123",2023,"Yates","NA County","S0101_C02_002","Under 5 Years",6.3,0.1
"36123",2023,"Yates","NA County","S0101_C02_003","5 to 9 Years",6.1,0.6
"36123",2023,"Yates","NA County","S0101_C02_004","10 to 14 Years",6.7,0.7
"36123",2023,"Yates","NA County","S0101_C02_005","15 to 19 Years",6.5,0.2
"36123",2023,"Yates","NA County","S0101_C02_006","20 to 24 Years",6.6,0.2
"36123",2023,"Yates","NA County","S0101_C02_007","25 to 29 Years",5.7,0.2
"36123",2023,"Yates","NA County","S0101_C02_008","30 to 34 Years",5.3,0.2
"36123",2023,"Yates","NA County","S0101_C02_009","35 to 39 Years",4.6,0.6
"36123",2023,"Yates","NA County","S0101_C02_010","40 to 44 Years",5.2,0.6
"36123",2023,"Yates","NA County","S0101_C02_011","45 to 49 Years",4.6,0.1
"36123",2023,"Yates","NA County","S0101_C02_012","50 to 54 Years",5.4,0.1
"36123",2023,"Yates","NA County","S0101_C02_013","55 to 59 Years",7,0.8
"36123",2023,"Yates","NA County","S0101_C02_014","60 to 64 Years",8.1,0.8
"36123",2023,"Yates","NA County","S0101_C02_015","65 to 69 Years",7.2,0.7
"36123",2023,"Yates","NA County","S0101_C02_016","70 to 74 Years",6.1,0.7
"36123",2023,"Yates","NA County","S0101_C02_017","75 to 79 Years",4.6,0.5
"36123",2023,"Yates","NA County","S0101_C02_018","80 to 84 Years",1.9,0.4
"36123",2023,"Yates","NA County","S0101_C02_019","85 Years and Over",2,0.4
"36037",2024,"Genesee","NA County","S0101_C02_002","Under 5 Years",5.1,0.1
"36037",2024,"Genesee","NA County","S0101_C02_003","5 to 9 Years",5.3,0.4
"36037",2024,"Genesee","NA County","S0101_C02_004","10 to 14 Years",6.3,0.4
"36037",2024,"Genesee","NA County","S0101_C02_005","15 to 19 Years",5.7,0.2
"36037",2024,"Genesee","NA County","S0101_C02_006","20 to 24 Years",5.4,0.2
"36037",2024,"Genesee","NA County","S0101_C02_007","25 to 29 Years",6,0.3
"36037",2024,"Genesee","NA County","S0101_C02_008","30 to 34 Years",6.5,0.3
"36037",2024,"Genesee","NA County","S0101_C02_009","35 to 39 Years",6.4,0.6
"36037",2024,"Genesee","NA County","S0101_C02_010","40 to 44 Years",5.8,0.5
"36037",2024,"Genesee","NA County","S0101_C02_011","45 to 49 Years",5.5,0.3
"36037",2024,"Genesee","NA County","S0101_C02_012","50 to 54 Years",6.6,0.2
"36037",2024,"Genesee","NA County","S0101_C02_013","55 to 59 Years",7,0.5
"36037",2024,"Genesee","NA County","S0101_C02_014","60 to 64 Years",8.1,0.6
"36037",2024,"Genesee","NA County","S0101_C02_015","65 to 69 Years",7.3,0.7
"36037",2024,"Genesee","NA County","S0101_C02_016","70 to 74 Years",4.4,0.7
"36037",2024,"Genesee","NA County","S0101_C02_017","75 to 79 Years",3.2,0.4
"36037",2024,"Genesee","NA County","S0101_C02_018","80 to 84 Years",2.6,0.4
"36037",2024,"Genesee","NA County","S0101_C02_019","85 Years and Over",2.7,0.5
"36051",2024,"Livingston","NA County","S0101_C02_002","Under 5 Years",4.3,0.1
"36051",2024,"Livingston","NA County","S0101_C02_003","5 to 9 Years",4.8,0.4
"36051",2024,"Livingston","NA County","S0101_C02_004","10 to 14 Years",5.3,0.4
"36051",2024,"Livingston","NA County","S0101_C02_005","15 to 19 Years",8.1,0.3
"36051",2024,"Livingston","NA County","S0101_C02_006","20 to 24 Years",9.6,0.3
"36051",2024,"Livingston","NA County","S0101_C02_007","25 to 29 Years",5.4,0.3
"36051",2024,"Livingston","NA County","S0101_C02_008","30 to 34 Years",5.1,0.2
"36051",2024,"Livingston","NA County","S0101_C02_009","35 to 39 Years",5.4,0.5
"36051",2024,"Livingston","NA County","S0101_C02_010","40 to 44 Years",5.8,0.4
"36051",2024,"Livingston","NA County","S0101_C02_011","45 to 49 Years",4.9,0.1
"36051",2024,"Livingston","NA County","S0101_C02_012","50 to 54 Years",6,0.2
"36051",2024,"Livingston","NA County","S0101_C02_013","55 to 59 Years",7.2,0.6
"36051",2024,"Livingston","NA County","S0101_C02_014","60 to 64 Years",7.7,0.5
"36051",2024,"Livingston","NA County","S0101_C02_015","65 to 69 Years",6.5,0.4
"36051",2024,"Livingston","NA County","S0101_C02_016","70 to 74 Years",5.6,0.5
"36051",2024,"Livingston","NA County","S0101_C02_017","75 to 79 Years",3.4,0.4
"36051",2024,"Livingston","NA County","S0101_C02_018","80 to 84 Years",2.4,0.3
"36051",2024,"Livingston","NA County","S0101_C02_019","85 Years and Over",2.3,0.3
"36055",2024,"Monroe","NA County","S0101_C02_002","Under 5 Years",5.2,0.1
"36055",2024,"Monroe","NA County","S0101_C02_003","5 to 9 Years",5.5,0.2
"36055",2024,"Monroe","NA County","S0101_C02_004","10 to 14 Years",6,0.2
"36055",2024,"Monroe","NA County","S0101_C02_005","15 to 19 Years",6.8,0.1
"36055",2024,"Monroe","NA County","S0101_C02_006","20 to 24 Years",6.6,0.1
"36055",2024,"Monroe","NA County","S0101_C02_007","25 to 29 Years",6.6,0.1
"36055",2024,"Monroe","NA County","S0101_C02_008","30 to 34 Years",7.1,0.1
"36055",2024,"Monroe","NA County","S0101_C02_009","35 to 39 Years",6.8,0.2
"36055",2024,"Monroe","NA County","S0101_C02_010","40 to 44 Years",5.8,0.2
"36055",2024,"Monroe","NA County","S0101_C02_011","45 to 49 Years",5.4,0.1
"36055",2024,"Monroe","NA County","S0101_C02_012","50 to 54 Years",6.1,0.1
"36055",2024,"Monroe","NA County","S0101_C02_013","55 to 59 Years",6.7,0.2
"36055",2024,"Monroe","NA County","S0101_C02_014","60 to 64 Years",6.8,0.2
"36055",2024,"Monroe","NA County","S0101_C02_015","65 to 69 Years",5.9,0.2
"36055",2024,"Monroe","NA County","S0101_C02_016","70 to 74 Years",5,0.2
"36055",2024,"Monroe","NA County","S0101_C02_017","75 to 79 Years",3.3,0.1
"36055",2024,"Monroe","NA County","S0101_C02_018","80 to 84 Years",2.1,0.1
"36055",2024,"Monroe","NA County","S0101_C02_019","85 Years and Over",2.4,0.1
"36069",2024,"Ontario","NA County","S0101_C02_002","Under 5 Years",4.6,NA
"36069",2024,"Ontario","NA County","S0101_C02_003","5 to 9 Years",5.9,0.3
"36069",2024,"Ontario","NA County","S0101_C02_004","10 to 14 Years",5.1,0.3
"36069",2024,"Ontario","NA County","S0101_C02_005","15 to 19 Years",6.2,0.2
"36069",2024,"Ontario","NA County","S0101_C02_006","20 to 24 Years",6.1,0.1
"36069",2024,"Ontario","NA County","S0101_C02_007","25 to 29 Years",5.3,0.1
"36069",2024,"Ontario","NA County","S0101_C02_008","30 to 34 Years",5.7,0.1
"36069",2024,"Ontario","NA County","S0101_C02_009","35 to 39 Years",6.1,0.5
"36069",2024,"Ontario","NA County","S0101_C02_010","40 to 44 Years",5.6,0.5
"36069",2024,"Ontario","NA County","S0101_C02_011","45 to 49 Years",5.6,0.2
"36069",2024,"Ontario","NA County","S0101_C02_012","50 to 54 Years",6.6,0.2
"36069",2024,"Ontario","NA County","S0101_C02_013","55 to 59 Years",7,0.3
"36069",2024,"Ontario","NA County","S0101_C02_014","60 to 64 Years",7.9,0.4
"36069",2024,"Ontario","NA County","S0101_C02_015","65 to 69 Years",6.6,0.3
"36069",2024,"Ontario","NA County","S0101_C02_016","70 to 74 Years",6.4,0.3
"36069",2024,"Ontario","NA County","S0101_C02_017","75 to 79 Years",4.2,0.3
"36069",2024,"Ontario","NA County","S0101_C02_018","80 to 84 Years",2.4,0.3
"36069",2024,"Ontario","NA County","S0101_C02_019","85 Years and Over",2.5,0.4
"36073",2024,"Orleans","NA County","S0101_C02_002","Under 5 Years",4.7,0.3
"36073",2024,"Orleans","NA County","S0101_C02_003","5 to 9 Years",5.1,0.5
"36073",2024,"Orleans","NA County","S0101_C02_004","10 to 14 Years",5.6,0.5
"36073",2024,"Orleans","NA County","S0101_C02_005","15 to 19 Years",5.3,0.5
"36073",2024,"Orleans","NA County","S0101_C02_006","20 to 24 Years",5.2,0.3
"36073",2024,"Orleans","NA County","S0101_C02_007","25 to 29 Years",5.9,0.3
"36073",2024,"Orleans","NA County","S0101_C02_008","30 to 34 Years",7.3,0.5
"36073",2024,"Orleans","NA County","S0101_C02_009","35 to 39 Years",6.7,0.6
"36073",2024,"Orleans","NA County","S0101_C02_010","40 to 44 Years",5.4,0.6
"36073",2024,"Orleans","NA County","S0101_C02_011","45 to 49 Years",5.8,0.3
"36073",2024,"Orleans","NA County","S0101_C02_012","50 to 54 Years",6.9,0.3
"36073",2024,"Orleans","NA County","S0101_C02_013","55 to 59 Years",8.3,0.8
"36073",2024,"Orleans","NA County","S0101_C02_014","60 to 64 Years",7.9,0.8
"36073",2024,"Orleans","NA County","S0101_C02_015","65 to 69 Years",6.6,0.7
"36073",2024,"Orleans","NA County","S0101_C02_016","70 to 74 Years",5.9,0.7
"36073",2024,"Orleans","NA County","S0101_C02_017","75 to 79 Years",3.9,0.4
"36073",2024,"Orleans","NA County","S0101_C02_018","80 to 84 Years",1.8,0.4
"36073",2024,"Orleans","NA County","S0101_C02_019","85 Years and Over",1.6,0.3
"36099",2024,"Seneca","NA County","S0101_C02_002","Under 5 Years",5.2,0.2
"36099",2024,"Seneca","NA County","S0101_C02_003","5 to 9 Years",5.2,0.5
"36099",2024,"Seneca","NA County","S0101_C02_004","10 to 14 Years",6.5,0.5
"36099",2024,"Seneca","NA County","S0101_C02_005","15 to 19 Years",5.4,0.2
"36099",2024,"Seneca","NA County","S0101_C02_006","20 to 24 Years",5.6,0.3
"36099",2024,"Seneca","NA County","S0101_C02_007","25 to 29 Years",5.9,0.2
"36099",2024,"Seneca","NA County","S0101_C02_008","30 to 34 Years",6.5,0.6
"36099",2024,"Seneca","NA County","S0101_C02_009","35 to 39 Years",6.3,0.7
"36099",2024,"Seneca","NA County","S0101_C02_010","40 to 44 Years",5.7,0.7
"36099",2024,"Seneca","NA County","S0101_C02_011","45 to 49 Years",5.4,0.3
"36099",2024,"Seneca","NA County","S0101_C02_012","50 to 54 Years",6.3,0.3
"36099",2024,"Seneca","NA County","S0101_C02_013","55 to 59 Years",6.4,0.9
"36099",2024,"Seneca","NA County","S0101_C02_014","60 to 64 Years",8,0.9
"36099",2024,"Seneca","NA County","S0101_C02_015","65 to 69 Years",7.5,0.6
"36099",2024,"Seneca","NA County","S0101_C02_016","70 to 74 Years",5.5,0.6
"36099",2024,"Seneca","NA County","S0101_C02_017","75 to 79 Years",3.8,0.4
"36099",2024,"Seneca","NA County","S0101_C02_018","80 to 84 Years",1.9,0.3
"36099",2024,"Seneca","NA County","S0101_C02_019","85 Years and Over",2.9,0.5
"36117",2024,"Wayne","NA County","S0101_C02_002","Under 5 Years",5.4,0.2
"36117",2024,"Wayne","NA County","S0101_C02_003","5 to 9 Years",6,0.4
"36117",2024,"Wayne","NA County","S0101_C02_004","10 to 14 Years",5.8,0.4
"36117",2024,"Wayne","NA County","S0101_C02_005","15 to 19 Years",5.6,0.2
"36117",2024,"Wayne","NA County","S0101_C02_006","20 to 24 Years",5.2,0.3
"36117",2024,"Wayne","NA County","S0101_C02_007","25 to 29 Years",5.4,0.2
"36117",2024,"Wayne","NA County","S0101_C02_008","30 to 34 Years",6.1,0.2
"36117",2024,"Wayne","NA County","S0101_C02_009","35 to 39 Years",6.2,0.5
"36117",2024,"Wayne","NA County","S0101_C02_010","40 to 44 Years",5.7,0.4
"36117",2024,"Wayne","NA County","S0101_C02_011","45 to 49 Years",5.6,0.2
"36117",2024,"Wayne","NA County","S0101_C02_012","50 to 54 Years",6.6,0.1
"36117",2024,"Wayne","NA County","S0101_C02_013","55 to 59 Years",7.4,0.5
"36117",2024,"Wayne","NA County","S0101_C02_014","60 to 64 Years",8.2,0.5
"36117",2024,"Wayne","NA County","S0101_C02_015","65 to 69 Years",6.9,0.4
"36117",2024,"Wayne","NA County","S0101_C02_016","70 to 74 Years",5.7,0.4
"36117",2024,"Wayne","NA County","S0101_C02_017","75 to 79 Years",3.9,0.4
"36117",2024,"Wayne","NA County","S0101_C02_018","80 to 84 Years",2.1,0.3
"36117",2024,"Wayne","NA County","S0101_C02_019","85 Years and Over",2.3,0.3
"36123",2024,"Yates","NA County","S0101_C02_002","Under 5 Years",6.3,0.1
"36123",2024,"Yates","NA County","S0101_C02_003","5 to 9 Years",6,0.6
"36123",2024,"Yates","NA County","S0101_C02_004","10 to 14 Years",6.3,0.7
"36123",2024,"Yates","NA County","S0101_C02_005","15 to 19 Years",6.3,0.2
"36123",2024,"Yates","NA County","S0101_C02_006","20 to 24 Years",6.4,0.1
"36123",2024,"Yates","NA County","S0101_C02_007","25 to 29 Years",5.6,0.3
"36123",2024,"Yates","NA County","S0101_C02_008","30 to 34 Years",5.6,0.3
"36123",2024,"Yates","NA County","S0101_C02_009","35 to 39 Years",4.7,0.6
"36123",2024,"Yates","NA County","S0101_C02_010","40 to 44 Years",5.3,0.6
"36123",2024,"Yates","NA County","S0101_C02_011","45 to 49 Years",4.9,0.3
"36123",2024,"Yates","NA County","S0101_C02_012","50 to 54 Years",5.3,0.2
"36123",2024,"Yates","NA County","S0101_C02_013","55 to 59 Years",6.2,0.8
"36123",2024,"Yates","NA County","S0101_C02_014","60 to 64 Years",8.5,0.8
"36123",2024,"Yates","NA County","S0101_C02_015","65 to 69 Years",7.4,0.7
"36123",2024,"Yates","NA County","S0101_C02_016","70 to 74 Years",6.3,0.7
"36123",2024,"Yates","NA County","S0101_C02_017","75 to 79 Years",4.4,0.5
"36123",2024,"Yates","NA County","S0101_C02_018","80 to 84 Years",2.1,0.4
"36123",2024,"Yates","NA County","S0101_C02_019","85 Years and Over",2.3,0.5
